name,company,year,turnover_type,sentiment,turnover_before
Mark McCullough,AMERICAN ELECTRIC POWER CO,2021,Voluntary,0.85378,0
Mark McCullough,AMERICAN ELECTRIC POWER CO,2021,Voluntary,0.96062,1
Lisa Barton,AMERICAN ELECTRIC POWER CO,2022,Voluntary,0.79844,0
Lisa Barton,AMERICAN ELECTRIC POWER CO,2022,Voluntary,0.99894,1
Kenneth Chenault,AMERICAN EXPRESS CO,2018,Voluntary,0.97354,0
Kenneth Chenault,AMERICAN EXPRESS CO,2018,Voluntary,0.79306,1
Steven Pietkiewicz,ANALOG DEVICES INC,2020,Voluntary,0.49146,0
Steven Pietkiewicz,ANALOG DEVICES INC,2020,Voluntary,0.56016,1
Christopher Cuddy,ARCHER-DANIELS-MIDLAND CO,2018,Voluntary,0.94742,0
Christopher Cuddy,ARCHER-DANIELS-MIDLAND CO,2018,Voluntary,0.85668,1
Richard Herren,AUTODESK INC,2020,Voluntary,0.99088,0
Richard Herren,AUTODESK INC,2020,Voluntary,0.99288,1
"Edward Flynn, III",AUTOMATIC DATA PROCESSING,2018,Voluntary,0.76938,0
"Edward Flynn, III",AUTOMATIC DATA PROCESSING,2018,Voluntary,0.99532,1
Thomas Perrotti,AUTOMATIC DATA PROCESSING,2019,Voluntary,0.793,0
Thomas Perrotti,AUTOMATIC DATA PROCESSING,2019,Voluntary,0.88534,1
Anne Bramman,AVERY DENNISON CORP,2017,Voluntary,0.95028,0
Anne Bramman,AVERY DENNISON CORP,2017,Voluntary,0.79546,1
"Alan Crain, Jr.",BAKER HUGHES INC,2016,Voluntary,0.54722,0
"Alan Crain, Jr.",BAKER HUGHES INC,2016,Voluntary,0.98626,1
Brian Shea,BANK OF NEW YORK MELLON CORP,2017,Voluntary,0.73338,0
Brian Shea,BANK OF NEW YORK MELLON CORP,2017,Voluntary,0.7431,1
Thomas Gibbons,BANK OF NEW YORK MELLON CORP,2022,Voluntary,0.81008,0
Thomas Gibbons,BANK OF NEW YORK MELLON CORP,2022,Voluntary,0.9256,1
Robert Hombach,BAXTER INTERNATIONAL INC,2015,Voluntary,0.9815,0
Robert Hombach,BAXTER INTERNATIONAL INC,2015,Voluntary,0.99198,1
David Scharf,BAXTER INTERNATIONAL INC,2016,Voluntary,0.34984,0
David Scharf,BAXTER INTERNATIONAL INC,2016,Voluntary,0.3793,1
Brik Eyre,BAXTER INTERNATIONAL INC,2018,Voluntary,0.99112,0
Brik Eyre,BAXTER INTERNATIONAL INC,2018,Voluntary,0.6718,1
Sean B. Martin,BAXTER INTERNATIONAL INC,2020,Voluntary,0.64648,0
Sean B. Martin,BAXTER INTERNATIONAL INC,2020,Voluntary,0.96918,1
David Rosenbloom,BAXTER INTERNATIONAL INC,2022,Voluntary,0.4277,0
David Rosenbloom,BAXTER INTERNATIONAL INC,2022,Voluntary,0.55524,1
"Jeffrey Sherman, Esq.",BECTON DICKINSON & CO,2015,Voluntary,0.99582,0
"Jeffrey Sherman, Esq.",BECTON DICKINSON & CO,2015,Voluntary,0.23088,1
Whitney Alexander,BEST BUY CO INC,2019,Voluntary,0.79368,0
Whitney Alexander,BEST BUY CO INC,2019,Voluntary,0.89302,1
Brian Tilzer,BEST BUY CO INC,2022,Voluntary,0.97194,0
Brian Tilzer,BEST BUY CO INC,2022,Voluntary,0.99856,1
Shannon Hall,BIO-RAD LABORATORIES INC,2017,Voluntary,0.45504,0
Shannon Hall,BIO-RAD LABORATORIES INC,2017,Voluntary,0.96506,1
John Hertia,BIO-RAD LABORATORIES INC,2018,Voluntary,0.99068,0
John Hertia,BIO-RAD LABORATORIES INC,2018,Voluntary,0.774,1
Annette Tumolo,BIO-RAD LABORATORIES INC,2020,Voluntary,0.67056,0
Annette Tumolo,BIO-RAD LABORATORIES INC,2020,Voluntary,0.94512,1
Timothy Keating,BOEING CO,2019,Voluntary,0.58772,0
Timothy Keating,BOEING CO,2019,Voluntary,0.99738,1
Brett Gerry,BOEING CO,2022,Voluntary,0.50394,0
Brett Gerry,BOEING CO,2022,Involuntary,-0.45454,1
Robert Glass,ROBERT HALF INC,2022,Voluntary,0.9893,0
Robert Glass,ROBERT HALF INC,2022,Voluntary,0.9906,1
Murdo Gordon,BRISTOL-MYERS SQUIBB CO,2017,Voluntary,0.29916,0
Murdo Gordon,BRISTOL-MYERS SQUIBB CO,2017,Voluntary,0.78568,1
Jill Jones,BROWN FORMAN CORP,2017,Voluntary,0.58306,0
Jill Jones,BROWN FORMAN CORP,2017,Voluntary,0.8225,1
Christopher Hocevar,CIGNA GROUP (THE),2018,Voluntary,0.75962,0
Christopher Hocevar,CIGNA GROUP (THE),2018,Voluntary,0.59268,1
Robert Ryder,CONSTELLATION BRANDS,2015,Voluntary,0.8346,0
Robert Ryder,CONSTELLATION BRANDS,2015,Voluntary,0.7778,1
David Klein,CONSTELLATION BRANDS,2019,Involuntary,0.98004,0
David Klein,CONSTELLATION BRANDS,2019,Voluntary,0.58124,1
George Barrett,CARDINAL HEALTH INC,2018,Voluntary,0.5706,0
George Barrett,CARDINAL HEALTH INC,2018,Voluntary,0.99714,1
David Evans,CARDINAL HEALTH INC,2020,Voluntary,0.79584,0
David Evans,CARDINAL HEALTH INC,2020,Voluntary,0.99686,1
Robert Charter,CATERPILLAR INC,2018,Voluntary,0.79072,0
Robert Charter,CATERPILLAR INC,2018,Voluntary,0.9949,1
Matthew Zames,JPMORGAN CHASE & CO,2016,Voluntary,0.97296,0
Matthew Zames,JPMORGAN CHASE & CO,2016,Voluntary,0.90236,1
John Watson,CHEVRON CORP,2018,Voluntary,0.87546,0
John Watson,CHEVRON CORP,2018,Voluntary,0.75516,1
"Stephen McGill, ACII, CBE",AON PLC,2017,Voluntary,0.89572,0
"Stephen McGill, ACII, CBE",AON PLC,2017,Voluntary,0.9904,1
John Bruno,AON PLC,2020,Voluntary,0.87874,0
John Bruno,AON PLC,2020,Voluntary,0.7444,1
Michael Angelakis,COMCAST CORP,2015,Voluntary,0.94228,0
Michael Angelakis,COMCAST CORP,2015,Voluntary,0.95124,1
David Watson,COMCAST CORP,2022,Voluntary,0.59814,0
David Watson,COMCAST CORP,2022,Voluntary,0.56004,1
Michael Michalak,COMERICA INC,2018,Voluntary,0.58102,0
Michael Michalak,COMERICA INC,2018,Voluntary,0.94788,1
Daniel Callahan,CITIGROUP INC,2015,Voluntary,0.35708,0
Daniel Callahan,CITIGROUP INC,2015,Voluntary,0.76128,1
James Forese,CITIGROUP INC,2019,Voluntary,0.73534,0
James Forese,CITIGROUP INC,2019,Voluntary,0.7305,1
Wei Chung Bradford Hu,CITIGROUP INC,2019,Voluntary,0.1688,0
Wei Chung Bradford Hu,CITIGROUP INC,2019,Voluntary,0.3765,1
Michael Corbat,CITIGROUP INC,2021,Voluntary,0.29082,0
Michael Corbat,CITIGROUP INC,2021,Voluntary,0.41578,1
Charisse Brock,CONAGRA BRANDS INC,2022,Voluntary,0.8065,0
Charisse Brock,CONAGRA BRANDS INC,2022,Voluntary,0.7859,1
William Longhi,CONSOLIDATED EDISON INC,2015,Voluntary,0.62826,0
William Longhi,CONSOLIDATED EDISON INC,2015,Voluntary,0.38746,1
Thomas Webb,CMS ENERGY CORP,2017,Voluntary,0.78896,0
Thomas Webb,CMS ENERGY CORP,2017,Voluntary,0.98156,1
Agostino Ricupati,COOPER COS INC (THE),2017,Voluntary,0.57046,0
Agostino Ricupati,COOPER COS INC (THE),2017,Voluntary,0.95576,1
Mauricio Pinto,MOLSON COORS BEVERAGE CO,2016,Voluntary,0.72632,0
Mauricio Pinto,MOLSON COORS BEVERAGE CO,2016,Voluntary,0.16674,1
E. Reichert,MOLSON COORS BEVERAGE CO,2021,Voluntary,0.14634,0
E. Reichert,MOLSON COORS BEVERAGE CO,2021,Voluntary,0.99112,1
James Clappin,CORNING INC,2020,Voluntary,0.67288,0
James Clappin,CORNING INC,2020,Voluntary,0.67468,1
Marya Rose,CUMMINS INC,2020,Voluntary,0.92904,0
Marya Rose,CUMMINS INC,2020,Voluntary,0.99012,1
Daniel Comas,DANAHER CORP,2018,Voluntary,0.78062,0
Daniel Comas,DANAHER CORP,2018,Voluntary,0.94096,1
Melissa Aquino,DANAHER CORP,2022,Voluntary,0.97682,0
Melissa Aquino,DANAHER CORP,2022,Voluntary,0.76732,1
Mattias Bystrm,DANAHER CORP,2022,Voluntary,0.99614,0
Mattias Bystrm,DANAHER CORP,2022,Voluntary,0.90176,1
Mark Tritton,TARGET CORP,2016,Voluntary,0.78604,0
Mark Tritton,TARGET CORP,2016,Voluntary,0.32492,1
"Michael Mack, Jr.",DEERE & CO,2016,Voluntary,0.85646,0
"Michael Mack, Jr.",DEERE & CO,2016,Voluntary,0.98316,1
Mary K. Jones,DEERE & CO,2022,Voluntary,0.43946,0
Mary K. Jones,DEERE & CO,2022,Voluntary,0.62966,1
Alan Braverman,DISNEY (WALT) CO,2021,Voluntary,0.53912,0
Alan Braverman,DISNEY (WALT) CO,2021,Voluntary,0.87636,1
David Tehle,DOLLAR GENERAL CORP,2015,Voluntary,0.70726,0
David Tehle,DOLLAR GENERAL CORP,2015,Voluntary,0.92696,1
John Flanigan,DOLLAR GENERAL CORP,2015,Voluntary,0.97604,0
John Flanigan,DOLLAR GENERAL CORP,2015,Voluntary,0.63532,1
"Robert Ravener, Jr.",DOLLAR GENERAL CORP,2018,Voluntary,0.78884,0
"Robert Ravener, Jr.",DOLLAR GENERAL CORP,2018,Voluntary,0.98344,1
Mark McGettrick,DOMINION ENERGY INC,2018,Voluntary,0.77618,0
Mark McGettrick,DOMINION ENERGY INC,2018,Voluntary,0.88976,1
Robert Livingston,DOVER CORP,2018,Voluntary,0.99648,0
Robert Livingston,DOVER CORP,2018,Voluntary,0.65172,1
"Andrew Liveris, A.O., B.E.,",DUPONT DE NEMOURS INC,2018,Voluntary,0.95406,0
"Andrew Liveris, A.O., B.E.,",DUPONT DE NEMOURS INC,2018,Voluntary,0.60536,1
Raj Ratnakar,DUPONT DE NEMOURS INC,2019,Voluntary,-0.43156,0
Raj Ratnakar,DUPONT DE NEMOURS INC,2019,Voluntary,0.66696,1
Randy Stone,DUPONT DE NEMOURS INC,2021,Voluntary,0.9962,0
Randy Stone,DUPONT DE NEMOURS INC,2021,Voluntary,0.58054,1
Dennis Hewitt,OMNICOM GROUP INC,2018,Voluntary,0.79672,0
Dennis Hewitt,OMNICOM GROUP INC,2018,Voluntary,0.79238,1
Brian Trent,DUKE ENERGY CORP,2015,Voluntary,0.7914,0
Brian Trent,DUKE ENERGY CORP,2015,Voluntary,0.99176,1
"William Foley, II",DUN & BRADSTREET HOLDNGS INC,2022,Voluntary,0.6994,0
"William Foley, II",DUN & BRADSTREET HOLDNGS INC,2022,Voluntary,0.98898,1
Deborah Butters,REVVITY INC,2019,Voluntary,0.5925,0
Deborah Butters,REVVITY INC,2019,Voluntary,0.47156,1
Michael Hickey,ECOLAB INC,2017,Voluntary,0.99476,0
Michael Hickey,ECOLAB INC,2017,Voluntary,0.87788,1
Roberto Inchaustegui,ECOLAB INC,2019,Voluntary,0.78994,0
Roberto Inchaustegui,ECOLAB INC,2019,Voluntary,0.78718,1
Timothy Mulhere,ECOLAB INC,2021,Voluntary,0.90206,0
Timothy Mulhere,ECOLAB INC,2021,Voluntary,0.78006,1
"Edgar Purvis, Jr.",EMERSON ELECTRIC CO,2017,Voluntary,0.6629,0
"Edgar Purvis, Jr.",EMERSON ELECTRIC CO,2017,Voluntary,0.81852,1
James Froedge,EMERSON ELECTRIC CO,2021,Voluntary,0.79802,0
James Froedge,EMERSON ELECTRIC CO,2021,Voluntary,0.9569,1
M. Hyland,EQT CORP,2017,Voluntary,0.74508,0
M. Hyland,EQT CORP,2017,Voluntary,0.98294,1
Jonathan Lushko,EQT CORP,2018,Voluntary,0.78722,0
Jonathan Lushko,EQT CORP,2018,Voluntary,0.98092,1
Gary Gould,EQT CORP,2019,Voluntary,0.31328,0
Gary Gould,EQT CORP,2019,Voluntary,0.9957,1
Rex Tillerson,EXXON MOBIL CORP,2016,Voluntary,0.8837,0
Rex Tillerson,EXXON MOBIL CORP,2016,Voluntary,0.15428,1
Lars Anderson,FIFTH THIRD BANCORP,2021,Voluntary,0.99776,0
Lars Anderson,FIFTH THIRD BANCORP,2021,Voluntary,0.9804,1
"Fournier Gale, III",REGIONS FINANCIAL CORP,2019,Voluntary,0.78626,0
"Fournier Gale, III",REGIONS FINANCIAL CORP,2019,Voluntary,0.98622,1
Richard Davis,US BANCORP,2017,Voluntary,0.95748,0
Richard Davis,US BANCORP,2017,Voluntary,0.79216,1
Robert Shanks,FORD MOTOR CO,2019,Voluntary,0.64432,0
Robert Shanks,FORD MOTOR CO,2019,Voluntary,0.9956,1
Ashwani Galhotra,FORD MOTOR CO,2022,Voluntary,0.7691,0
Ashwani Galhotra,FORD MOTOR CO,2022,Voluntary,0.88758,1
John Lusk,FRANKLIN RESOURCES INC,2015,Voluntary,0.58974,0
John Lusk,FRANKLIN RESOURCES INC,2015,Voluntary,0.93504,1
James Gault,ARTHUR J GALLAGHER & CO,2017,Voluntary,0.61262,0
James Gault,ARTHUR J GALLAGHER & CO,2017,Voluntary,0.98798,1
S. Johnson,GENERAL DYNAMICS CORP,2018,Voluntary,0.63738,0
S. Johnson,GENERAL DYNAMICS CORP,2018,Voluntary,0.88888,1
Stephen Carlisle,GENERAL MOTORS CO,2022,Voluntary,0.90302,0
Stephen Carlisle,GENERAL MOTORS CO,2022,Voluntary,0.78542,1
Carol Yancey,GENUINE PARTS CO,2022,Voluntary,0.79488,0
Carol Yancey,GENUINE PARTS CO,2022,Voluntary,0.75288,1
Court Carruthers,GRAINGER (W W) INC,2015,Voluntary,0.93072,0
Court Carruthers,GRAINGER (W W) INC,2015,Voluntary,0.82316,1
Thomas Okray,GRAINGER (W W) INC,2020,Voluntary,0.55182,0
Thomas Okray,GRAINGER (W W) INC,2020,Voluntary,0.99834,1
"David Lesar, B.Sc., C.P.A.",HALLIBURTON CO,2018,Voluntary,0.78928,0
"David Lesar, B.Sc., C.P.A.",HALLIBURTON CO,2018,Voluntary,-0.33008,1
Robert Duffy,L3HARRIS TECHNOLOGIES INC,2019,Voluntary,0.70742,0
Robert Duffy,L3HARRIS TECHNOLOGIES INC,2019,Voluntary,0.98982,1
Jonathan Rambeau,L3HARRIS TECHNOLOGIES INC,2022,Voluntary,0.97032,0
Jonathan Rambeau,L3HARRIS TECHNOLOGIES INC,2022,Voluntary,0.54026,1
Jeffrey Miller,WELLTOWER INC,2017,Voluntary,0.7753,0
Jeffrey Miller,WELLTOWER INC,2017,Voluntary,0.99404,1
Matthew Hill,KRAFT HEINZ CO,2015,Voluntary,0.35652,0
Matthew Hill,KRAFT HEINZ CO,2015,Voluntary,0.92218,1
Pedro Drevon,KRAFT HEINZ CO,2017,Voluntary,0.76838,0
Pedro Drevon,KRAFT HEINZ CO,2017,Voluntary,0.77212,1
Flavio Torres,KRAFT HEINZ CO,2020,Voluntary,0.68558,0
Flavio Torres,KRAFT HEINZ CO,2020,Voluntary,0.54176,1
Craig Menear,HOME DEPOT INC,2022,Voluntary,0.88986,0
Craig Menear,HOME DEPOT INC,2022,Voluntary,0.99452,1
Steven Binder,HORMEL FOODS CORP,2017,Voluntary,0.9907,0
Steven Binder,HORMEL FOODS CORP,2017,Voluntary,0.98744,1
James Sheehan,HORMEL FOODS CORP,2022,Voluntary,0.94606,0
James Sheehan,HORMEL FOODS CORP,2022,Voluntary,0.7134,1
William Rogers,CENTERPOINT ENERGY INC,2019,Voluntary,0.79776,0
William Rogers,CENTERPOINT ENERGY INC,2019,Voluntary,0.79204,1
Milton Carroll,CENTERPOINT ENERGY INC,2021,Voluntary,0.79954,0
Milton Carroll,CENTERPOINT ENERGY INC,2021,Voluntary,0.77856,1
An-Ping Hsieh,HUBBELL INC,2018,Voluntary,0.98914,0
An-Ping Hsieh,HUBBELL INC,2018,Voluntary,0.55968,1
Alyssa Flynn,HUBBELL INC,2022,Voluntary,0.92414,0
Alyssa Flynn,HUBBELL INC,2022,Voluntary,0.9948,1
Lei Schlitz,ILLINOIS TOOL WORKS,2022,Voluntary,0.8924,0
Lei Schlitz,ILLINOIS TOOL WORKS,2022,Voluntary,0.8505,1
"Didier P. Teirlinck, Ph.D.",TRANE TECHNOLOGIES PLC,2017,Voluntary,0.8817,0
"Didier P. Teirlinck, Ph.D.",TRANE TECHNOLOGIES PLC,2017,Voluntary,0.8761,1
William Hoel,INTL PAPER CO,2015,Voluntary,0.99524,0
William Hoel,INTL PAPER CO,2015,Voluntary,0.33806,1
Glenn Landau,INTL PAPER CO,2018,Voluntary,0.5518,0
Glenn Landau,INTL PAPER CO,2018,Voluntary,0.9886,1
Sharon Ryan,INTL PAPER CO,2022,Voluntary,0.79044,0
Sharon Ryan,INTL PAPER CO,2022,Voluntary,0.78976,1
Brian Stief,JOHNSON CONTROLS INTL PLC,2021,Voluntary,0.97952,0
Brian Stief,JOHNSON CONTROLS INTL PLC,2021,Voluntary,0.79534,1
Ganesh Ramaswamy,JOHNSON CONTROLS INTL PLC,2022,Voluntary,0.59456,0
Ganesh Ramaswamy,JOHNSON CONTROLS INTL PLC,2022,Voluntary,0.87944,1
Michael Kirk,KLA CORP,2016,Voluntary,0.88866,0
Michael Kirk,KLA CORP,2016,Voluntary,0.7543,1
Teri Little,KLA CORP,2020,Voluntary,0.89428,0
Teri Little,KLA CORP,2020,Voluntary,0.98726,1
David DeVeau,KINDER MORGAN INC,2015,Voluntary,0.52256,0
David DeVeau,KINDER MORGAN INC,2015,Voluntary,0.78278,1
Larry Irick,EVERGY INC,2017,Voluntary,0.19236,0
Larry Irick,EVERGY INC,2017,Voluntary,0.79244,1
John Bryant,KELLANOVA,2017,Voluntary,0.79268,0
John Bryant,KELLANOVA,2017,Voluntary,0.72034,1
Paul Norman,KELLANOVA,2017,Voluntary,0.41968,0
Paul Norman,KELLANOVA,2017,Voluntary,0.9563,1
Mark Buthman,KIMBERLY-CLARK CORP,2015,Voluntary,0.99808,0
Mark Buthman,KIMBERLY-CLARK CORP,2015,Voluntary,0.1481,1
"Larry Allgaier, B.Sc",KIMBERLY-CLARK CORP,2018,Voluntary,0.99258,0
"Larry Allgaier, B.Sc",KIMBERLY-CLARK CORP,2018,Voluntary,0.56526,1
Kimberly Underhill,KIMBERLY-CLARK CORP,2021,Voluntary,0.99224,0
Kimberly Underhill,KIMBERLY-CLARK CORP,2021,Voluntary,0.9786,1
"Jan Lundberg, Ph.D.",LILLY (ELI) & CO,2017,Voluntary,0.57838,0
"Jan Lundberg, Ph.D.",LILLY (ELI) & CO,2017,Voluntary,0.96676,1
Joshua L. Smiley,LILLY (ELI) & CO,2021,Voluntary,0.97406,0
Joshua L. Smiley,LILLY (ELI) & CO,2021,Voluntary,0.81496,1
Martin Waters,BATH & BODY WORKS INC,2018,Voluntary,0.19878,0
Martin Waters,BATH & BODY WORKS INC,2018,Voluntary,0.38964,1
James Bersani,BATH & BODY WORKS INC,2021,Voluntary,0.75402,0
James Bersani,BATH & BODY WORKS INC,2021,Voluntary,0.33788,1
Richard Edwards,LOCKHEED MARTIN CORP,2018,Voluntary,0.63406,0
Richard Edwards,LOCKHEED MARTIN CORP,2018,Voluntary,0.9671,1
Dale Bennett,LOCKHEED MARTIN CORP,2019,Voluntary,0.61194,0
Dale Bennett,LOCKHEED MARTIN CORP,2019,Voluntary,0.96358,1
Stephanie Hill,LOCKHEED MARTIN CORP,2021,Voluntary,0.99434,0
Stephanie Hill,LOCKHEED MARTIN CORP,2021,Voluntary,0.62738,1
Kenneth Possenriede,LOCKHEED MARTIN CORP,2021,Voluntary,0.8074,0
Kenneth Possenriede,LOCKHEED MARTIN CORP,2021,Voluntary,0.5095,1
Michael Jones,LOWE'S COS INC,2016,Voluntary,0.85918,0
Michael Jones,LOWE'S COS INC,2016,Involuntary,-0.01716,1
Jennifer Weber,LOWE'S COS INC,2018,Voluntary,0.7436,0
Jennifer Weber,LOWE'S COS INC,2018,Voluntary,0.39908,1
Peter Beshar,MARSH & MCLENNAN COS,2017,Voluntary,0.3583,0
Peter Beshar,MARSH & MCLENNAN COS,2017,Voluntary,0.97652,1
"Patrick Blake, M.B.A.",MCKESSON CORP,2016,Voluntary,0.52816,0
"Patrick Blake, M.B.A.",MCKESSON CORP,2016,Voluntary,0.1057,1
Tracy Faber,MCKESSON CORP,2021,Voluntary,0.96412,0
Tracy Faber,MCKESSON CORP,2021,Voluntary,0.97558,1
Joel Poppen,MICRON TECHNOLOGY INC,2017,Voluntary,0.98688,0
Joel Poppen,MICRON TECHNOLOGY INC,2017,Voluntary,0.4926,1
"Theodore Bunting, Jr.",ENTERGY CORP,2015,Voluntary,0.98884,0
"Theodore Bunting, Jr.",ENTERGY CORP,2015,Voluntary,0.6129,1
Hugh McDonald,ENTERGY CORP,2016,Voluntary,0.79128,0
Hugh McDonald,ENTERGY CORP,2016,Voluntary,0.99324,1
"Charles Rice, Jr., J.D., M.A",ENTERGY CORP,2017,Voluntary,0.79166,0
"Charles Rice, Jr., J.D., M.A",ENTERGY CORP,2017,Voluntary,0.95188,1
"Phillip May, Jr.",ENTERGY CORP,2017,Voluntary,0.81308,0
"Phillip May, Jr.",ENTERGY CORP,2017,Voluntary,0.9965,1
Sallie Rainer,ENTERGY CORP,2021,Voluntary,0.98298,0
Sallie Rainer,ENTERGY CORP,2021,Voluntary,0.78034,1
Leo Denault,ENTERGY CORP,2022,Involuntary,0.98112,0
Leo Denault,ENTERGY CORP,2022,Voluntary,0.93036,1
"A. Bakken, III",ENTERGY CORP,2022,Voluntary,0.77926,0
"A. Bakken, III",ENTERGY CORP,2022,Voluntary,0.2385,1
"J. McQuade, Ph.D.",3M CO,2016,Voluntary,0.5973,0
"J. McQuade, Ph.D.",3M CO,2016,Voluntary,0.7979,1
James Bauman,3M CO,2018,Voluntary,0.42132,0
James Bauman,3M CO,2018,Voluntary,0.76642,1
Julie Bushman,3M CO,2019,Voluntary,0.0076,0
Julie Bushman,3M CO,2019,Voluntary,0.22122,1
"Ashish Khandpur, Ph.D.",3M CO,2021,Voluntary,0.48214,0
"Ashish Khandpur, Ph.D.",3M CO,2021,Voluntary,0.78772,1
Jeffrey Lavers,3M CO,2022,Voluntary,0.98048,0
Jeffrey Lavers,3M CO,2022,Voluntary,0.98896,1
Bruce Brda,MOTOROLA SOLUTIONS INC,2018,Voluntary,0.98822,0
Bruce Brda,MOTOROLA SOLUTIONS INC,2018,Voluntary,0.9252,1
Michael Hilton,NORDSON CORP,2019,Voluntary,0.77538,0
Michael Hilton,NORDSON CORP,2019,Voluntary,0.68814,1
James Hixon,NORFOLK SOUTHERN CORP,2016,Voluntary,0.77904,0
James Hixon,NORFOLK SOUTHERN CORP,2016,Voluntary,0.36796,1
Michael Wheeler,NORFOLK SOUTHERN CORP,2020,Voluntary,0.7873,0
Michael Wheeler,NORFOLK SOUTHERN CORP,2020,Voluntary,0.99282,1
David McHale,EVERSOURCE ENERGY,2016,Voluntary,0.99264,0
David McHale,EVERSOURCE ENERGY,2016,Voluntary,0.59672,1
"Robert Skaggs, Jr.",NISOURCE INC,2015,Voluntary,0.94276,0
"Robert Skaggs, Jr.",NISOURCE INC,2015,Voluntary,0.79092,1
"Charles Shafer, II",NISOURCE INC,2021,Voluntary,0.7826,0
"Charles Shafer, II",NISOURCE INC,2021,Voluntary,0.44684,1
Scott Wilensky,XCEL ENERGY INC,2019,Voluntary,0.6175,0
Scott Wilensky,XCEL ENERGY INC,2019,Voluntary,0.63494,1
Jana Schreuder,NORTHERN TRUST CORP,2018,Voluntary,0.79626,0
Jana Schreuder,NORTHERN TRUST CORP,2018,Voluntary,0.40054,1
Christopher Jones,NORTHROP GRUMMAN CORP,2019,Voluntary,0.96054,0
Christopher Jones,NORTHROP GRUMMAN CORP,2019,Voluntary,0.94404,1
Matthew Bromberg,NORTHROP GRUMMAN CORP,2022,Voluntary,0.96362,0
Matthew Bromberg,NORTHROP GRUMMAN CORP,2022,Voluntary,0.90796,1
Carrie Tolstedt,WELLS FARGO & CO,2016,Involuntary,0.21352,0
Carrie Tolstedt,WELLS FARGO & CO,2016,Involuntary,-0.21488,1
Michael Loughlin,WELLS FARGO & CO,2016,Involuntary,-0.03964,0
Michael Loughlin,WELLS FARGO & CO,2016,Involuntary,0.53814,1
Petros Pelos,WELLS FARGO & CO,2019,Voluntary,0.78368,0
Petros Pelos,WELLS FARGO & CO,2019,Voluntary,0.7802,1
C. Parker,WELLS FARGO & CO,2019,Voluntary,0.9437,0
C. Parker,WELLS FARGO & CO,2019,Involuntary,0.90908,1
John Shrewsberry,WELLS FARGO & CO,2020,Involuntary,0.6552,0
John Shrewsberry,WELLS FARGO & CO,2020,Voluntary,-0.08004,1
James Darsey,NUCOR CORP,2018,Voluntary,0.99502,0
James Darsey,NUCOR CORP,2018,Voluntary,0.98492,1
Edward Lowe,OCCIDENTAL PETROLEUM CORP,2020,Voluntary,-0.53348,0
Edward Lowe,OCCIDENTAL PETROLEUM CORP,2020,Voluntary,0.56078,1
"Leila Vespoli, Esq.",FIRSTENERGY CORP,2019,Voluntary,0.61078,0
"Leila Vespoli, Esq.",FIRSTENERGY CORP,2019,Voluntary,0.17736,1
Gary Benz,FIRSTENERGY CORP,2020,Voluntary,0.32106,0
Gary Benz,FIRSTENERGY CORP,2020,Voluntary,0.99544,1
Terry Spencer,ONEOK INC,2021,Voluntary,0.7311,0
Terry Spencer,ONEOK INC,2021,Voluntary,0.95918,1
