exec_name,company,end_year,ticker,avg_close_before,avg_close_after,price_change,percent_change,volatility_before,volatility_after,volatility_change,avg_close_before_3mo,avg_close_after_3mo,price_change_3mo,percent_change_3mo,volatility_before_3mo,volatility_after_3mo,volatility_change_3mo,avg_close_before_1mo,avg_close_after_1mo,price_change_1mo,percent_change_1mo,volatility_before_1mo,volatility_after_1mo,volatility_change_1mo,tic,execid,start_year,end_month,tenure_len
Bertrand Cambou,ADVANCED MICRO DEVICES,2003,AMD,10.34,9.42,-0.92,-8.9,3.88,3.9,0.02,6.22,5.91,-0.31,-4.98,1.46,0.8,-0.66,7.28,6.39,-0.89,-12.23,0.76,0.88,0.12,AMD,25960,2002,1,2
Harold Wagner,AIR PRODUCTS & CHEMICALS INC,2001,APD,30.5,39.03,8.53,27.97,3.3,3.15,-0.15,33.49,36.17,2.68,8.0,1.89,1.5,-0.39,34.79,35.29,0.5,1.44,2.1,1.6,-0.5,APD,15,2000,1,2
John Jones,AIR PRODUCTS & CHEMICALS INC,2007,APD,76.03,81.23,5.2,6.84,8.47,14.92,6.45,88.01,87.58,-0.43,-0.49,3.03,4.77,1.74,88.85,93.26,4.41,4.96,2.25,1.46,-0.79,APD,12121,2000,12,8
John McGlade,AIR PRODUCTS & CHEMICALS INC,2014,APD,90.39,116.73,26.34,29.14,8.62,9.59,0.97,100.8,106.19,5.39,5.35,2.0,5.42,3.42,101.3,101.34,0.04,0.04,2.3,2.16,-0.14,APD,27315,2002,1,13
Lawrence Bossidy,HONEYWELL INTERNATIONAL INC,2002,HON,37.36,30.01,-7.35,-19.67,7.2,5.8,-1.4,29.51,33.58,4.07,13.79,2.23,3.27,1.04,31.6,30.72,-0.88,-2.78,0.79,1.85,1.06,HON,26,2000,1,3
Michael Bonsignore,HONEYWELL INTERNATIONAL INC,2001,HON,43.74,37.36,-6.38,-14.59,7.59,7.2,-0.39,45.25,43.38,-1.87,-4.13,6.26,3.36,-2.9,47.71,44.82,-2.89,-6.06,2.61,1.17,-1.44,HON,1238,2000,1,2
J. Gilligan,HONEYWELL INTERNATIONAL INC,2003,HON,30.01,25.42,-4.59,-15.29,5.8,2.83,-2.97,22.42,22.36,-0.06,-0.27,1.58,1.2,-0.38,22.78,23.44,0.66,2.9,0.92,0.87,-0.05,HON,16275,2000,1,4
Robert Johnson,HONEYWELL INTERNATIONAL INC,2004,HON,25.42,33.57,8.15,32.06,2.83,1.19,-1.64,28.48,33.09,4.61,16.19,1.49,1.35,-0.14,29.82,33.76,3.94,13.21,1.27,1.03,-0.24,HON,18572,2000,1,5
David Cote,HONEYWELL INTERNATIONAL INC,2017,HON,109.77,134.44,24.67,22.47,3.64,10.05,6.41,113.69,122.62,8.93,7.85,3.11,3.27,0.16,117.32,120.72,3.4,2.9,2.54,0.72,-1.82,HON,20931,2002,3,16
Robert Gillette,HONEYWELL INTERNATIONAL INC,2009,HON,31.07,39.13,8.06,25.94,4.82,2.77,-2.05,32.42,36.21,3.79,11.69,2.08,1.18,-0.9,34.4,36.63,2.23,6.48,0.83,1.34,0.51,HON,29132,2005,9,5
Rajeev Gautam,HONEYWELL INTERNATIONAL INC,2020,HON,165.01,163.77,-1.24,-0.75,11.47,24.29,12.82,173.45,163.36,-10.09,-5.82,6.45,21.73,15.28,175.65,178.67,3.02,1.72,1.39,2.66,1.27,HON,53932,2017,1,4
John Waldron,HONEYWELL INTERNATIONAL INC,2020,HON,165.01,163.77,-1.24,-0.75,11.47,24.29,12.82,173.45,163.36,-10.09,-5.82,6.45,21.73,15.28,175.65,178.67,3.02,1.72,1.39,2.66,1.27,HON,59748,2020,1,1
Que Dallara,HONEYWELL INTERNATIONAL INC,2021,HON,163.77,218.06,54.29,33.15,24.29,9.83,-14.46,192.75,207.32,14.57,7.56,18.41,5.67,-12.74,210.74,205.43,-5.31,-2.52,2.08,4.93,2.85,HON,61032,2021,1,1
Michael Madsen,HONEYWELL INTERNATIONAL INC,2021,HON,163.77,218.06,54.29,33.15,24.29,9.83,-14.46,192.75,207.32,14.57,7.56,18.41,5.67,-12.74,210.74,205.43,-5.31,-2.52,2.08,4.93,2.85,HON,61033,2021,1,1
E. Draper,AMERICAN ELECTRIC POWER CO,2003,AEP,36.3,26.98,-9.32,-25.67,8.37,2.85,-5.52,25.64,23.56,-2.08,-8.11,3.1,2.84,-0.26,27.14,26.93,-0.21,-0.77,0.7,2.21,1.51,AEP,1189,2000,1,4
Kenneth Chenault,AMERICAN EXPRESS CO,2018,AXP,84.65,100.96,16.31,19.27,7.14,5.1,-2.04,95.24,96.86,1.62,1.7,2.81,3.13,0.32,98.68,99.79,1.11,1.12,0.63,0.98,0.35,AXP,2157,2000,1,19
Maurice Greenberg,AMERICAN INTERNATIONAL GROUP,2005,AIG,1375.95,1225.15,-150.8,-10.96,83.51,108.59,25.08,1338.46,1112.71,-225.75,-16.87,38.73,95.18,56.45,1379.24,1216.81,-162.43,-11.78,41.41,90.58,49.17,AIG,44,2000,3,6
Martin Sullivan,AMERICAN INTERNATIONAL GROUP,2008,AIG,1148.93,175.68,-973.25,-84.71,206.65,229.45,22.8,869.25,539.66,-329.59,-37.92,74.7,96.92,22.22,809.55,644.28,-165.27,-20.42,91.54,60.74,-30.8,AIG,26441,2001,6,8
Jay Wintrob,AMERICAN INTERNATIONAL GROUP,2014,AIG,51.33,56.66,5.33,10.38,2.41,4.03,1.62,54.59,53.59,-1.0,-1.83,1.07,1.76,0.69,54.12,55.03,0.91,1.68,1.49,0.74,-0.75,AIG,10247,2002,9,13
Edward Liddy,AMERICAN INTERNATIONAL GROUP,2009,AIG,79.86,34.49,-45.37,-56.81,134.85,6.31,-128.54,25.98,37.35,11.37,43.76,9.51,8.47,-1.04,13.67,29.63,15.96,116.75,1.89,9.65,7.76,AIG,3246,2008,8,2
Robert Willumstad,AMERICAN INTERNATIONAL GROUP,2008,AIG,1148.93,175.68,-973.25,-84.71,206.65,229.45,22.8,869.25,539.66,-329.59,-37.92,74.7,96.92,22.22,809.55,644.28,-165.27,-20.42,91.54,60.74,-30.8,AIG,23050,2008,6,1
Peter Hancock,AMERICAN INTERNATIONAL GROUP,2017,AIG,58.93,61.87,2.94,4.99,4.68,1.89,-2.79,65.31,61.83,-3.48,-5.33,1.27,1.29,0.02,64.23,62.58,-1.65,-2.57,1.4,0.97,-0.43,AIG,18477,2010,3,8
John Doyle,AMERICAN INTERNATIONAL GROUP,2015,AIG,58.21,56.98,-1.23,-2.11,3.77,3.57,-0.2,59.78,56.92,-2.86,-4.78,2.17,4.08,1.91,61.77,61.4,-0.37,-0.6,1.31,1.45,0.14,AIG,47223,2014,12,2
Robert Scott Schimek,AMERICAN INTERNATIONAL GROUP,2017,AIG,57.3,62.52,5.22,9.11,4.13,2.1,-2.03,62.79,64.21,1.42,2.26,2.66,1.74,-0.92,65.67,65.86,0.19,0.29,0.92,0.8,-0.12,AIG,50857,2016,1,2
Jerald Fishman,ANALOG DEVICES INC,2013,ADI,38.94,46.59,7.65,19.65,1.64,2.17,0.53,40.24,44.68,4.44,11.03,1.23,1.4,0.17,41.61,43.11,1.5,3.6,0.62,0.8,0.18,ADI,3976,2000,1,14
George Farris,APA CORP,2015,APA,85.72,54.36,-31.36,-36.58,11.7,9.39,-2.31,71.16,62.89,-8.27,-11.62,8.52,3.18,-5.34,61.33,61.25,-0.08,-0.13,3.22,1.99,-1.23,APA,3994,2000,1,16
Rodney Eichler,APA CORP,2013,APA,89.5,82.67,-6.83,-7.63,9.33,5.64,-3.69,80.51,78.87,-1.64,-2.04,4.11,4.14,0.03,77.75,82.1,4.35,5.59,1.45,1.79,0.34,APA,27764,2002,1,12
G. Andreas,ARCHER-DANIELS-MIDLAND CO,2006,ADM,22.67,36.65,13.98,61.67,1.76,4.67,2.91,24.33,30.71,6.38,26.22,0.45,2.91,2.46,24.58,27.49,2.91,11.84,0.5,1.63,1.13,ADM,13958,2000,1,7
Amar Hanspal,AUTODESK INC,2017,ADSK,63.94,105.18,41.24,64.5,9.63,12.97,3.34,76.61,86.04,9.43,12.31,3.82,2.17,-1.65,80.22,85.28,5.06,6.31,1.78,1.87,0.09,ADSK,44608,2012,2,6
Arthur Weinbach,AUTOMATIC DATA PROCESSING,2007,ADP,40.36,37.11,-3.25,-8.05,1.73,2.82,1.09,41.14,38.62,-2.52,-6.13,1.06,2.61,1.55,41.85,41.03,-0.82,-1.96,0.62,1.26,0.64,ADP,1446,2000,11,8
Gary Butler,AUTOMATIC DATA PROCESSING,2012,ADP,44.68,49.09,4.41,9.87,1.97,1.63,-0.34,45.01,48.24,3.23,7.18,1.55,0.69,-0.86,46.16,48.68,2.52,5.46,1.07,0.8,-0.27,ADP,2385,2000,1,13
George Sissel,BALL CORP,2001,BALL,2.13,3.22,1.09,51.17,0.23,0.56,0.33,2.27,2.69,0.42,18.5,0.28,0.15,-0.13,2.57,2.76,0.19,7.39,0.19,0.17,-0.02,BALL,6207,2000,1,2
Albert Schlesinger,BALL CORP,2002,BALL,3.22,5.66,2.44,75.78,0.56,0.61,0.05,4.05,5.07,1.02,25.19,0.27,0.55,0.28,4.28,4.44,0.16,3.74,0.11,0.26,0.15,BALL,24393,2000,1,3
Hanno Fiedler,BALL CORP,2005,BALL,8.98,9.93,0.95,10.58,1.02,0.67,-0.35,10.38,10.93,0.55,5.3,0.7,0.32,-0.38,11.01,10.63,-0.38,-3.45,0.13,0.13,0.0,BALL,26025,2002,1,4
John Hayes,BALL CORP,2022,BALL,88.85,69.89,-18.96,-21.34,4.63,15.95,11.32,92.45,90.94,-1.51,-1.63,1.92,2.48,0.56,92.73,90.98,-1.75,-1.89,1.8,2.81,1.01,BALL,30913,2006,1,17
Thomas Gibbons,BANK OF NEW YORK MELLON CORP,2022,BK,53.57,45.11,-8.46,-15.79,4.89,3.72,-1.17,58.93,47.39,-11.54,-19.58,2.99,3.56,0.57,59.4,51.46,-7.94,-13.37,3.94,1.11,-2.83,BK,30890,2006,3,17
Ronald OHanley,BANK OF NEW YORK MELLON CORP,2010,BK,27.33,27.77,0.44,1.61,2.26,2.25,-0.01,27.38,29.24,1.86,6.79,0.78,1.19,0.41,27.19,29.33,2.14,7.87,0.44,0.66,0.22,BK,23041,2007,1,4
Robert Kelly,BANK OF NEW YORK MELLON CORP,2011,BK,27.47,21.19,-6.28,-22.86,2.96,1.59,-1.37,24.11,19.74,-4.37,-18.13,2.57,1.22,-1.35,21.07,19.78,-1.29,-6.12,1.79,0.86,-0.93,BK,24419,2007,9,5
Curtis Arledge,BANK OF NEW YORK MELLON CORP,2016,BK,41.31,40.3,-1.01,-2.44,2.1,3.76,1.66,42.02,36.27,-5.75,-13.68,1.44,1.61,0.17,41.94,36.58,-5.36,-12.78,1.18,1.61,0.43,BK,40789,2010,1,7
Timothy Keaney,BANK OF NEW YORK MELLON CORP,2014,BK,32.18,39.24,7.06,21.94,1.83,2.05,0.22,34.05,37.62,3.57,10.48,0.82,1.59,0.77,34.31,35.67,1.36,3.96,0.34,0.83,0.49,BK,45371,2013,6,2
Mitchell Harris,BANK OF NEW YORK MELLON CORP,2020,BK,42.74,42.15,-0.59,-1.38,5.77,5.67,-0.1,36.59,36.35,-0.24,-0.66,2.34,1.41,-0.93,38.92,37.02,-1.9,-4.88,1.56,1.13,-0.43,BK,50385,2016,7,5
Charles Scharf,BANK OF NEW YORK MELLON CORP,2019,BK,48.37,41.52,-6.85,-14.16,3.51,6.07,2.56,43.98,46.23,2.25,5.12,1.66,2.29,0.63,43.15,45.41,2.26,5.24,1.85,1.76,-0.09,BK,20948,2017,9,3
Harry Jansen Kraemer,BAXTER INTERNATIONAL INC,2004,BAX,14.44,17.1,2.66,18.42,1.78,0.72,-1.06,15.66,16.33,0.67,4.28,0.75,0.41,-0.34,16.18,16.54,0.36,2.22,0.51,0.48,-0.03,BAX,5894,2000,1,5
Robert Parkinson,BAXTER INTERNATIONAL INC,2015,BAX,38.03,41.46,3.43,9.02,1.5,4.57,3.07,37.85,36.61,-1.24,-3.28,2.19,1.81,-0.38,35.66,34.51,-1.15,-3.22,1.39,1.64,0.25,BAX,14299,2004,10,12
Lowell McAdam,VERIZON COMMUNICATIONS INC,2018,VZ,48.47,55.26,6.79,14.01,2.53,3.11,0.58,48.2,51.31,3.11,6.45,0.87,2.17,1.3,48.03,48.78,0.75,1.56,0.63,0.94,0.31,VZ,32564,2007,6,12
Ronan Dunne,VERIZON COMMUNICATIONS INC,2021,VZ,56.69,48.71,-7.98,-14.08,2.17,5.3,3.13,54.3,52.23,-2.07,-3.81,1.19,1.11,-0.08,52.97,51.82,-1.15,-2.17,0.99,0.78,-0.21,VZ,55795,2018,11,4
Brian Dunn,BEST BUY CO INC,2012,BBY,26.37,17.87,-8.5,-32.23,2.95,3.39,0.44,24.28,19.46,-4.82,-19.85,1.67,1.18,-0.49,22.22,19.42,-2.8,-12.6,0.61,1.1,0.49,BBY,28397,2002,5,11
Robert Willett,BEST BUY CO INC,2009,BBY,33.26,39.3,6.04,18.16,5.89,3.86,-2.03,38.25,40.89,2.64,6.9,1.48,2.19,0.71,38.98,41.92,2.94,7.54,1.24,1.51,0.27,BBY,29811,2004,11,6
Jonathan Wheway,BEST BUY CO INC,2009,BBY,38.6,36.23,-2.37,-6.14,8.57,4.76,-3.81,24.9,29.6,4.7,18.88,3.83,3.17,-0.66,25.1,28.4,3.3,13.15,2.81,1.32,-1.49,BBY,40065,2009,1,1
Harry Stonecipher,BOEING CO,2005,BA,49.05,65.18,16.13,32.88,4.51,4.47,-0.04,52.41,59.13,6.72,12.82,1.54,1.88,0.34,53.35,57.58,4.23,7.93,1.08,0.84,-0.24,BA,902,2000,3,6
Philip Condit,BOEING CO,2003,BA,39.72,33.26,-6.46,-16.26,5.67,4.37,-1.3,32.01,29.55,-2.46,-7.69,1.5,2.85,1.35,32.68,32.73,0.05,0.15,0.75,1.33,0.58,BA,2633,2000,1,4
Alan Mulally,BOEING CO,2006,BA,62.29,79.95,17.66,28.35,5.81,6.06,0.25,68.04,72.66,4.62,6.79,2.06,3.48,1.42,70.37,68.95,-1.42,-2.02,0.69,1.34,0.65,BA,16436,2000,1,7
Dennis Muilenburg,BOEING CO,2019,BA,363.95,206.53,-157.42,-43.25,26.21,75.44,49.23,365.77,330.51,-35.26,-9.64,14.18,15.05,0.87,363.72,339.14,-24.58,-6.76,8.23,10.61,2.38,BA,42427,2011,12,9
Charles Heimbold,BRISTOL-MYERS SQUIBB CO,2001,BMY,55.38,55.64,0.26,0.47,5.83,3.53,-2.3,61.29,59.71,-1.58,-2.58,4.71,3.17,-1.54,66.03,62.23,-3.8,-5.75,1.97,2.15,0.18,BMY,1523,2000,1,2
Peter Dolan,BRISTOL-MYERS SQUIBB CO,2006,BMY,23.43,27.49,4.06,17.33,1.44,2.41,0.97,24.01,24.53,0.52,2.17,1.79,0.51,-1.28,21.8,24.35,2.55,11.7,0.99,0.9,-0.09,BMY,20876,2000,9,7
H. Hanway,CIGNA GROUP (THE),2009,CI,36.0,24.64,-11.36,-31.56,11.76,6.11,-5.65,18.31,17.29,-1.02,-5.57,6.61,2.23,-4.38,14.78,16.31,1.53,10.35,1.55,1.35,-0.2,CI,10499,2000,1,10
Timothy Wentworth,CIGNA GROUP (THE),2021,CI,218.26,239.91,21.65,9.92,27.62,26.33,-1.29,228.91,209.08,-19.83,-8.66,14.1,6.94,-7.16,212.42,206.85,-5.57,-2.62,8.07,5.53,-2.54,CI,28110,2018,9,4
John Snow,CSX CORP,2003,CSX,1.86,1.71,-0.15,-8.06,0.23,0.13,-0.1,1.55,1.55,0.0,0.0,0.05,0.07,0.02,1.58,1.59,0.01,0.63,0.03,0.09,0.06,CSX,270,2000,1,4
Robert Grassi,CSX CORP,2003,CSX,1.86,1.71,-0.15,-8.06,0.23,0.13,-0.1,1.55,1.55,0.0,0.0,0.05,0.07,0.02,1.58,1.59,0.01,0.63,0.03,0.09,0.06,CSX,21041,2000,1,4
Charles Raymond,CSX CORP,2002,CSX,1.9,1.86,-0.04,-2.11,0.18,0.23,0.05,1.93,2.11,0.18,9.33,0.1,0.07,-0.03,1.96,2.09,0.13,6.63,0.06,0.09,0.03,CSX,24495,2000,1,3
Andrew Fogarty,CSX CORP,2004,CSX,1.71,1.84,0.13,7.6,0.13,0.16,0.03,1.81,1.78,-0.03,-1.66,0.12,0.11,-0.01,1.93,1.92,-0.01,-0.52,0.05,0.07,0.02,CSX,26144,2001,1,4
E. Harrison,CSX CORP,2017,CSX,16.3,21.29,4.99,30.61,1.73,2.41,0.68,17.34,18.62,1.28,7.38,0.52,0.64,0.12,16.99,18.54,1.55,9.12,0.54,0.42,-0.12,CSX,488,2017,12,1
David Johnson,CAMPBELL SOUP CO,2001,CPB,29.23,29.27,0.04,0.14,2.79,1.75,-1.04,30.24,31.17,0.93,3.08,2.8,1.41,-1.39,32.47,32.73,0.26,0.8,1.12,0.75,-0.37,CPB,168,2000,1,2
Douglas Conant,CAMPBELL SOUP CO,2011,CPB,35.14,32.82,-2.32,-6.6,1.21,1.05,-0.16,33.8,32.94,-0.86,-2.54,0.66,1.45,0.79,34.45,33.98,-0.47,-1.36,0.71,0.36,-0.35,CPB,12560,2001,6,11
Denise Morrison,CAMPBELL SOUP CO,2018,CPB,48.82,37.93,-10.89,-22.31,4.74,2.64,-2.1,43.43,38.53,-4.9,-11.28,1.6,3.07,1.47,42.17,37.56,-4.61,-10.93,0.94,3.28,2.34,CPB,34167,2008,5,11
Alexander Berk,CONSTELLATION BRANDS,2008,STZ,23.5,18.88,-4.62,-19.66,1.53,3.2,1.67,24.27,20.19,-4.08,-16.81,0.88,1.4,0.52,24.11,21.49,-2.62,-10.87,0.44,0.93,0.49,STZ,15565,2000,1,9
Peter Aikens,CONSTELLATION BRANDS,2001,STZ,6.37,9.52,3.15,49.45,0.32,1.14,0.82,6.32,8.08,1.76,27.85,0.33,0.49,0.16,6.61,7.75,1.14,17.25,0.39,0.59,0.2,STZ,19649,2000,1,2
Jon Moramarco,CONSTELLATION BRANDS,2009,STZ,18.88,14.16,-4.72,-25.0,3.2,1.78,-1.42,14.13,14.03,-0.1,-0.71,2.19,1.23,-0.96,14.56,15.11,0.55,3.78,1.19,0.74,-0.45,STZ,22066,2000,1,10
Stephen Millar,CONSTELLATION BRANDS,2005,STZ,18.51,26.38,7.87,42.52,2.09,1.95,-0.14,21.36,25.92,4.56,21.35,1.63,1.3,-0.33,23.12,24.5,1.38,5.97,0.27,0.94,0.67,STZ,27042,2003,1,3
Jose Fernandez,CONSTELLATION BRANDS,2009,STZ,18.88,14.16,-4.72,-25.0,3.2,1.78,-1.42,14.13,14.03,-0.1,-0.71,2.19,1.23,-0.96,14.56,15.11,0.55,3.78,1.19,0.74,-0.45,STZ,33195,2007,1,3
James Millar,CARDINAL HEALTH INC,2003,CAH,64.42,59.34,-5.08,-7.89,4.75,3.26,-1.49,64.68,57.67,-7.01,-10.84,3.83,2.58,-1.25,60.94,59.89,-1.05,-1.72,1.99,2.29,0.3,CAH,4783,2000,1,4
Ronald Labrum,CARDINAL HEALTH INC,2006,CAH,59.31,67.62,8.31,14.01,3.59,3.33,-0.26,64.12,71.84,7.72,12.04,2.65,1.99,-0.66,67.37,70.28,2.91,4.32,1.54,1.42,-0.12,CAH,27290,2002,1,5
David Schlotterbeck,CARDINAL HEALTH INC,2009,CAH,50.05,32.24,-17.81,-35.58,8.78,3.21,-5.57,36.38,34.8,-1.58,-4.34,4.96,3.04,-1.92,32.53,36.99,4.46,13.71,1.04,0.99,-0.05,CAH,4074,2005,1,5
Ronal Clark,CARDINAL HEALTH INC,2010,CAH,32.24,34.21,1.97,6.11,3.21,1.92,-1.29,30.35,33.85,3.5,11.53,2.17,1.53,-0.64,32.43,32.3,-0.13,-0.4,0.34,0.59,0.25,CAH,20200,2006,1,5
Mark Parrish,CARDINAL HEALTH INC,2008,CAH,67.77,50.05,-17.72,-26.15,4.75,8.78,4.03,61.4,57.37,-4.03,-6.56,3.26,3.39,0.13,58.99,58.37,-0.62,-1.05,1.01,1.76,0.75,CAH,32794,2007,1,2
George Barrett,CARDINAL HEALTH INC,2018,CAH,71.65,57.06,-14.59,-20.36,7.44,7.78,0.34,61.83,68.6,6.77,10.95,3.48,3.69,0.21,61.22,70.14,8.92,14.57,1.55,4.21,2.66,CAH,6395,2008,1,11
Michael Lynch,CARDINAL HEALTH INC,2012,CAH,42.63,41.83,-0.8,-1.88,1.74,2.07,0.33,41.91,41.71,-0.2,-0.48,0.61,0.69,0.08,41.9,41.63,-0.27,-0.64,0.77,0.61,-0.16,CAH,40451,2010,4,3
Donald Casey,CARDINAL HEALTH INC,2018,CAH,71.65,57.06,-14.59,-20.36,7.44,7.78,0.34,61.83,68.6,6.77,10.95,3.48,3.69,0.21,61.22,70.14,8.92,14.57,1.55,4.21,2.66,CAH,43542,2012,1,7
Jon Giacomin,CARDINAL HEALTH INC,2019,CAH,49.88,50.17,0.29,0.58,3.49,4.36,0.87,46.13,45.64,-0.49,-1.06,1.85,2.07,0.22,44.64,46.33,1.69,3.79,1.1,1.3,0.2,CAH,48209,2015,7,5
Glen Barton,CATERPILLAR INC,2004,CAT,30.4,39.86,9.46,31.12,6.04,3.23,-2.81,37.94,39.37,1.43,3.77,1.97,1.52,-0.45,40.02,41.19,1.17,2.92,1.82,1.05,-0.77,CAT,2777,2000,1,5
James Owens,CATERPILLAR INC,2010,CAT,42.02,69.17,27.15,64.61,11.09,10.83,-0.26,56.92,58.17,1.25,2.2,2.59,3.42,0.83,57.86,58.06,0.2,0.35,0.81,3.73,2.92,CAT,10422,2000,1,11
William Winters,JPMORGAN CHASE & CO,2009,JPM,39.83,35.49,-4.34,-10.9,5.21,7.87,2.66,34.98,24.17,-10.81,-30.9,5.7,3.41,-2.29,30.84,25.62,-5.22,-16.93,2.19,2.93,0.74,JPM,27855,2002,1,8
Michael Cavanagh,JPMORGAN CHASE & CO,2013,JPM,39.22,51.88,12.66,32.28,3.58,3.37,-0.21,41.85,48.0,6.15,14.7,1.25,1.58,0.33,42.9,46.24,3.34,7.79,1.14,0.83,-0.31,JPM,30919,2006,1,8
James Staley,JPMORGAN CHASE & CO,2011,JPM,40.36,39.36,-1.0,-2.48,2.56,5.8,3.24,39.46,45.44,5.98,15.15,1.57,1.01,-0.56,40.84,44.55,3.71,9.08,1.3,0.65,-0.65,JPM,34089,2006,1,6
David O'Reilly,CHEVRON CORP,2009,CVX,84.9,70.18,-14.72,-17.34,9.73,5.02,-4.71,72.16,67.99,-4.17,-5.78,5.43,5.12,-0.31,74.29,72.25,-2.04,-2.75,3.44,2.46,-0.98,CVX,14687,2000,1,10
John Watson,CHEVRON CORP,2018,CVX,111.46,120.23,8.77,7.87,5.68,6.22,0.54,118.58,119.54,0.96,0.81,2.86,7.95,5.09,121.59,129.64,8.05,6.62,2.57,2.52,-0.05,CVX,23369,2000,1,19
Joseph Geagea,CHEVRON CORP,2021,CVX,93.12,133.66,40.54,43.54,12.21,26.23,14.02,105.01,102.55,-2.46,-2.34,3.42,6.01,2.59,101.58,99.31,-2.27,-2.23,2.79,2.72,-0.07,CVX,50867,2016,8,6
Robert Davies III,CHURCH & DWIGHT INC,2004,CHD,5.53,7.31,1.78,32.19,0.58,0.43,-0.15,6.36,6.83,0.47,7.39,0.38,0.21,-0.17,6.67,6.58,-0.09,-1.35,0.12,0.05,-0.07,CHD,10992,2000,1,5
James Craigie,CHURCH & DWIGHT INC,2016,CHD,42.32,46.75,4.43,10.47,1.09,2.79,1.7,42.84,43.71,0.87,2.03,0.87,2.39,1.52,42.75,40.57,-2.18,-5.1,0.55,1.04,0.49,CHD,28032,2004,1,13
G. Sullivan,CLOROX CO/DE,2003,CLX,42.68,44.32,1.64,3.84,2.75,2.48,-0.27,43.01,41.7,-1.31,-3.05,1.94,2.46,0.52,43.28,39.82,-3.46,-7.99,1.52,1.38,-0.14,CLX,221,2000,1,4
Gerald Johnston,CLOROX CO/DE,2006,CLX,57.7,61.68,3.98,6.9,2.99,2.06,-0.93,54.65,60.44,5.79,10.59,1.14,1.53,0.39,55.81,58.53,2.72,4.87,1.27,0.69,-0.58,CLX,13962,2000,1,7
Robert Matschullat,CLOROX CO/DE,2007,CLX,61.68,63.66,1.98,3.21,2.06,2.37,0.31,64.42,64.38,-0.04,-0.06,0.6,1.36,0.76,64.08,64.55,0.47,0.73,0.36,0.87,0.51,CLX,3925,2006,1,2
Douglas Daft,COCA-COLA CO,2004,KO,22.04,23.22,1.18,5.35,1.43,2.3,0.87,23.44,24.92,1.48,6.31,0.99,0.48,-0.51,24.53,24.93,0.4,1.63,0.69,0.16,-0.53,KO,14266,2000,1,5
